n_entries,gets_time,throughput_per_sec,percentage_successful_gets
1048576,0.00124714,80183.45975592155,0.0
2097152,0.002582047,38728.96194376012,0.0
3145728,0.003956224,25276.627410379187,0.0
4194304,0.006276026,15933.649733127302,0.0
5242880,0.006168032,16212.626653039413,0.0
6291456,0.00446169,22413.031833229114,0.0
7340032,0.009597763,10419.094532757268,0.0
8388608,0.006441012,15525.51058746669,0.0
9437184,0.006963529,14360.534723126735,0.0
10485760,0.011031457,9064.985704064296,0.0
11534336,0.006296977,15880.636057587633,0.0
12582912,0.007469335,13388.072699912376,0.0
13631488,0.009371018,10671.199222965957,0.0
14680064,0.015671012,6381.208820464179,0.0
15728640,0.016741439,5973.202184113325,0.0
16777216,0.010687278,9356.919507474215,0.0
17825792,0.015419059,6485.480080204635,0.0
18874368,0.012014196,8323.486648628006,0.0
19922944,0.012521039,7986.55766506278,0.0
20971520,0.019981771,5004.561407494862,0.0
22020096,0.013667007,7316.89096230067,0.0
23068672,0.011802706,8472.63330968339,0.0
24117248,0.020584346,4858.060586428152,0.0
25165824,0.013891043,7198.88348196748,0.0
26214400,0.025434487,3931.669626362034,0.0
27262976,0.009938949,10061.426011945528,0.0
28311552,0.019145615,5223.128115759144,0.0
29360128,0.026051526,3838.546732348808,0.0
30408704,0.0195881,5105.140365834359,0.0
31457280,0.022800962,4385.779863147879,0.0
32505856,0.025005531,3999.1152357452434,0.0
33554432,0.019793239,5052.230208507056,0.0
34603008,0.01857021,5384.968721409182,0.0
35651584,0.022535792,4437.385648571836,0.0
36700160,0.031981307,3126.82655527493,0.0
37748736,0.025326471,3948.4379801670752,0.0
38797312,0.021386547,4675.836636928813,0.0
39845888,0.021298196,4695.233342767622,0.0
40894464,0.022775926,4390.6008475791505,0.0
41943040,0.025886326,3863.0433689199463,0.0
42991616,0.023804045,4200.966684443758,0.0
44040192,0.040205748,2487.2065556397556,0.0
45088768,0.021273197,4700.75090264994,0.0
46137344,0.024847114,4024.6122748903554,0.0
47185920,0.033460027,2988.6407443723815,0.0
48234496,0.027803444,3596.6767282499245,0.0
49283072,0.024163877,4138.408749556207,0.0
50331648,0.025267902,3957.590147373534,0.0
51380224,0.028553747,3502.1673337653374,0.0
52428800,0.046340417,2157.9434643412897,0.0
53477376,0.03562272,2807.197204480736,0.0
54525952,0.027098941,3690.181103387029,0.0
55574528,0.025320337,3949.394512403212,0.0
56623104,0.026968495,3708.0304258728565,0.0
57671680,0.03574336,2797.7224301240844,0.0
58720256,0.032526344,3074.4309904611478,0.0
59768832,0.034953326,2860.958067338141,0.0
60817408,0.030218846,3309.1932100914773,0.0
61865984,0.022673882,4410.360784271525,0.0
62914560,0.047010937,2127.164578744729,0.0
63963136,0.029794329,3356.343416896551,0.0
65011712,0.037903962,2638.2466297322694,0.0
66060288,0.033768239,2961.362598742564,0.0
67108864,0.039811003,2511.8683897514466,0.0
